Target Distance: 100, Step Size: 2
668: (x, y) = (24.357, 15.2209)
669: (x, y) = (26.089, 14.2209)
670: (x, y) = (27.2927, 15.8181)
671: (x, y) = (28.5783, 17.3502)
672: (x, y) = (26.6989, 16.6662)
673: (x, y) = (28.4648, 15.7273)
674: (x, y) = (27.2334, 17.3033)
675: (x, y) = (28.7655, 16.0177)
676: (x, y) = (30.7579, 15.8434)
677: (x, y) = (30.6881, 17.8422)
678: (x, y) = (30.3752, 19.8175)
679: (x, y) = (28.4959, 19.1335)
680: (x, y) = (26.6287, 19.8502)
681: (x, y) = (24.7161, 19.2655)
682: (x, y) = (23.1618, 20.5241)
683: (x, y) = (23.1269, 22.5238)
684: (x, y) = (21.1269, 22.5238)
685: (x, y) = (19.1318, 22.3843)
686: (x, y) = (20.9444, 23.2296)
687: (x, y) = (22.5204, 24.4609)
688: (x, y) = (22.3113, 22.4718)
689: (x, y) = (20.5293, 23.3798)
690: (x, y) = (21.1805, 21.4888)
691: (x, y) = (19.4146, 22.4277)
692: (x, y) = (20.1313, 20.5606)
693: (x, y) = (20.8154, 18.6812)
694: (x, y) = (22.7175, 19.2992)
695: (x, y) = (22.2336, 17.3586)
696: (x, y) = (20.5193, 18.3887)
697: (x, y) = (19.0566, 17.0247)
698: (x, y) = (17.853, 15.4274)
699: (x, y) = (15.8679, 15.1837)
700: (x, y) = (13.9191, 14.7338)
701: (x, y) = (14.4704, 12.8113)
702: (x, y) = (13.3811, 11.1339)
703: (x, y) = (13.2068, 9.14154)
704: (x, y) = (11.8947, 10.651)
705: (x, y) = (13.8837, 10.86)
706: (x, y) = (12.4944, 9.42133)
707: (x, y) = (11.3188, 11.0394)
708: (x, y) = (13.0509, 10.0394)
709: (x, y) = (11.1383, 9.45462)
710: (x, y) = (9.23617, 8.83659)
711: (x, y) = (11.2359, 8.87149)
712: (x, y) = (11.0964, 6.87636)
713: (x, y) = (9.40026, 5.81653)
714: (x, y) = (11.0183, 4.64096)
715: (x, y) = (12.5046, 3.30269)
716: (x, y) = (14.1226, 4.47827)
717: (x, y) = (16.0859, 4.09665)
718: (x, y) = (18.0831, 3.99198)
719: (x, y) = (16.1026, 4.27032)
720: (x, y) = (18.0432, 4.75417)
721: (x, y) = (18.5945, 2.83164)
722: (x, y) = (20.2125, 1.65607)
723: (x, y) = (21.3881, 0.0380373)
724: (x, y) = (19.77, -1.13753)
725: (x, y) = (18.112, -2.25592)
726: (x, y) = (16.2576, -3.00513)
727: (x, y) = (15.1977, -4.70123)
728: (x, y) = (15.6476, -2.75249)
729: (x, y) = (16.1653, -0.820637)
730: (x, y) = (17.0105, 0.991979)
731: (x, y) = (15.4345, 2.2233)
732: (x, y) = (14.2589, 0.605268)
733: (x, y) = (15.3188, -1.09083)
734: (x, y) = (16.657, 0.395461)
735: (x, y) = (18.6494, 0.569773)
736: (x, y) = (16.6494, 0.569773)
737: (x, y) = (14.9913, 1.68816)
738: (x, y) = (16.9886, 1.79283)
739: (x, y) = (18.8296, 2.57429)
740: (x, y) = (17.1913, 1.42714)
741: (x, y) = (15.3369, 0.677927)
742: (x, y) = (17.164, 1.4914)
743: (x, y) = (19.1531, 1.28234)
744: (x, y) = (20.3286, 2.90038)
745: (x, y) = (22.2919, 2.51876)
746: (x, y) = (23.6302, 1.03247)
747: (x, y) = (25.2062, -0.198853)
748: (x, y) = (23.4741, -1.19885)
749: (x, y) = (21.4744, -1.23376)
750: (x, y) = (20.0851, 0.204921)
751: (x, y) = (18.6709, -1.20929)
752: (x, y) = (18.0529, 0.692821)
753: (x, y) = (19.7849, -0.307179)
754: (x, y) = (21.2476, 1.05682)
755: (x, y) = (19.3251, 0.505543)
756: (x, y) = (17.33, 0.36603)
757: (x, y) = (16.4847, -1.44659)
758: (x, y) = (17.036, 0.475938)
759: (x, y) = (15.672, 1.93865)
760: (x, y) = (13.7157, 1.52282)
761: (x, y) = (15.679, 1.90444)
762: (x, y) = (15.8533, -0.0879497)
763: (x, y) = (16.7922, -1.85384)
764: (x, y) = (18.1816, -3.29252)
765: (x, y) = (19.7788, -4.49615)
766: (x, y) = (20.8681, -6.1735)
767: (x, y) = (22.8571, -5.96444)
768: (x, y) = (24.7482, -6.61558)
769: (x, y) = (25.9518, -8.21285)
770: (x, y) = (27.7011, -7.24323)
771: (x, y) = (25.7884, -7.82797)
772: (x, y) = (27.6556, -7.11123)
773: (x, y) = (28.2069, -9.03376)
774: (x, y) = (26.2436, -9.41538)
775: (x, y) = (26.7613, -7.48352)
776: (x, y) = (26.9356, -9.47591)
777: (x, y) = (28.8674, -8.95828)
778: (x, y) = (30.4647, -7.75465)
779: (x, y) = (32.462, -7.85932)
780: (x, y) = (30.5493, -8.44406)
781: (x, y) = (28.574, -8.13119)
782: (x, y) = (28.4345, -6.13606)
783: (x, y) = (26.4372, -6.03139)
784: (x, y) = (24.8829, -4.77275)
785: (x, y) = (23.4202, -3.40875)
786: (x, y) = (25.3689, -2.95885)
787: (x, y) = (23.4563, -3.5436)
788: (x, y) = (22.9051, -5.46612)
789: (x, y) = (24.4371, -6.75169)
790: (x, y) = (26.1692, -7.75169)
791: (x, y) = (26.2739, -5.75444)
792: (x, y) = (28.0231, -6.72405)
793: (x, y) = (27.1779, -8.53667)
794: (x, y) = (26.728, -10.4854)
795: (x, y) = (24.887, -9.70395)
796: (x, y) = (25.1998, -7.72857)
797: (x, y) = (23.3327, -8.44531)
798: (x, y) = (21.4101, -7.89403)
799: (x, y) = (22.2236, -9.72112)
800: (x, y) = (24.103, -9.03708)
801: (x, y) = (24.9482, -7.22447)
802: (x, y) = (23.6361, -5.71505)
803: (x, y) = (25.1455, -4.40293)
804: (x, y) = (27.1209, -4.7158)
805: (x, y) = (25.1803, -5.19964)
806: (x, y) = (27.1366, -5.61547)
807: (x, y) = (25.6503, -4.2772)
808: (x, y) = (23.9183, -5.2772)
809: (x, y) = (25.7309, -4.43197)
810: (x, y) = (24.2922, -3.04265)
811: (x, y) = (24.6051, -5.01803)
812: (x, y) = (25.3543, -3.16366)
813: (x, y) = (24.0687, -4.69575)
814: (x, y) = (23.8597, -2.70671)
815: (x, y) = (22.1104, -3.67633)
816: (x, y) = (24.091, -3.39798)
817: (x, y) = (23.4398, -1.50694)
818: (x, y) = (23.7182, -3.48748)
819: (x, y) = (23.4398, -5.46801)
820: (x, y) = (24.4699, -7.18235)
821: (x, y) = (23.7207, -9.03672)
822: (x, y) = (22.2113, -10.3488)
823: (x, y) = (20.573, -9.20168)
824: (x, y) = (22.5654, -9.02737)
825: (x, y) = (21.5957, -7.27813)
826: (x, y) = (22.6556, -8.97423)
827: (x, y) = (24.1419, -10.3125)
828: (x, y) = (22.1856, -10.7283)
829: (x, y) = (24.0399, -11.4775)
830: (x, y) = (23.4552, -13.3901)
831: (x, y) = (23.6642, -11.4011)
832: (x, y) = (25.1029, -10.0118)
833: (x, y) = (24.6191, -11.9524)
834: (x, y) = (26.6163, -12.057)
835: (x, y) = (26.5117, -14.0543)
836: (x, y) = (26.4768, -12.0546)
837: (x, y) = (28.4086, -12.5722)
838: (x, y) = (29.7979, -11.1336)
839: (x, y) = (27.8128, -10.8898)
840: (x, y) = (26.8739, -12.6557)
841: (x, y) = (28.0495, -11.0377)
842: (x, y) = (27.9797, -9.0389)
843: (x, y) = (29.2652, -10.571)
844: (x, y) = (27.4382, -9.75752)
845: (x, y) = (28.4382, -8.02546)
846: (x, y) = (30.1525, -6.99539)
847: (x, y) = (31.7705, -5.81982)
848: (x, y) = (33.2799, -4.5077)
849: (x, y) = (34.5386, -6.06199)
850: (x, y) = (35.5082, -7.81123)
851: (x, y) = (37.4208, -8.39597)
852: (x, y) = (38.1375, -6.52881)
853: (x, y) = (39.8336, -5.46898)
854: (x, y) = (38.6023, -3.89295)
855: (x, y) = (39.1536, -1.97043)
856: (x, y) = (40.9946, -1.18897)
857: (x, y) = (42.0544, -2.88506)
858: (x, y) = (43.7318, -1.79579)
859: (x, y) = (43.8365, 0.201473)
860: (x, y) = (44.2181, -1.76178)
861: (x, y) = (42.3637, -1.01257)
862: (x, y) = (43.8264, 0.351428)
863: (x, y) = (41.9138, -0.233315)
864: (x, y) = (43.0894, 1.38472)
865: (x, y) = (44.6215, 2.67029)
866: (x, y) = (44.1376, 4.61089)
867: (x, y) = (46.0502, 5.19563)
868: (x, y) = (45.6003, 3.24689)
869: (x, y) = (47.4547, 3.9961)
870: (x, y) = (48.3936, 5.762)
871: (x, y) = (46.8842, 7.07412)
872: (x, y) = (48.1155, 5.49809)
873: (x, y) = (49.9131, 6.37484)
874: (x, y) = (49.948, 8.37453)
875: (x, y) = (49.4304, 10.3064)
876: (x, y) = (49.5699, 12.3015)
877: (x, y) = (51.5504, 12.0232)
878: (x, y) = (49.9962, 13.2818)
879: (x, y) = (48.7648, 14.8578)
880: (x, y) = (46.7797, 15.1016)
881: (x, y) = (48.118, 13.6153)
882: (x, y) = (50.0306, 13.0305)
883: (x, y) = (49.0917, 11.2646)
884: (x, y) = (47.4944, 10.061)
885: (x, y) = (46.7777, 11.9282)
886: (x, y) = (48.2404, 10.5642)
887: (x, y) = (47.4912, 12.4185)
888: (x, y) = (48.6948, 14.0158)
889: (x, y) = (47.2085, 12.6775)
890: (x, y) = (45.3291, 11.9935)
891: (x, y) = (43.5315, 11.1168)
892: (x, y) = (45.4109, 11.8008)
893: (x, y) = (44.5029, 10.0188)
894: (x, y) = (45.9656, 11.3828)
895: (x, y) = (46.5169, 13.3053)
896: (x, y) = (44.6898, 14.1188)
897: (x, y) = (46.5692, 14.8028)
898: (x, y) = (48.1872, 13.6273)
899: (x, y) = (49.3909, 15.2245)
900: (x, y) = (49.5304, 13.2294)
901: (x, y) = (51.328, 14.1061)
902: (x, y) = (49.3792, 13.6562)
903: (x, y) = (47.9165, 12.2922)
904: (x, y) = (49.1201, 13.8895)
905: (x, y) = (47.3226, 14.7663)
906: (x, y) = (45.4432, 14.0822)
907: (x, y) = (43.9338, 15.3943)
908: (x, y) = (45.8248, 16.0455)
909: (x, y) = (44.1475, 14.9562)
910: (x, y) = (42.638, 16.2683)
911: (x, y) = (40.6817, 15.8525)
912: (x, y) = (38.7411, 16.3363)
913: (x, y) = (37.6813, 18.0324)
914: (x, y) = (38.1989, 19.9643)
915: (x, y) = (37.6813, 18.0324)
916: (x, y) = (37.1637, 19.9643)
917: (x, y) = (36.9546, 17.9752)
918: (x, y) = (38.9397, 18.219)
919: (x, y) = (37.0725, 18.9357)
920: (x, y) = (39.0713, 18.8659)
921: (x, y) = (39.4529, 20.8292)
922: (x, y) = (38.3637, 19.1518)
923: (x, y) = (40.2658, 19.7699)
924: (x, y) = (38.3339, 19.2522)
925: (x, y) = (36.5519, 20.1602)
926: (x, y) = (38.1699, 18.9846)
927: (x, y) = (40.1453, 18.6718)
928: (x, y) = (38.1602, 18.9155)
929: (x, y) = (38.7783, 17.0134)
930: (x, y) = (40.2169, 18.4027)
931: (x, y) = (41.7264, 17.0906)
932: (x, y) = (39.7413, 16.8468)
933: (x, y) = (39.0901, 18.7379)
934: (x, y) = (40.2657, 20.3559)
935: (x, y) = (39.2657, 18.6239)
936: (x, y) = (37.827, 20.0132)
937: (x, y) = (37.2758, 18.0907)
938: (x, y) = (36.6246, 16.1996)
939: (x, y) = (34.812, 17.0449)
940: (x, y) = (36.6914, 16.3608)
941: (x, y) = (36.4476, 14.3757)
942: (x, y) = (34.8934, 13.1171)
943: (x, y) = (36.7955, 13.7351)
944: (x, y) = (38.6081, 14.5804)
945: (x, y) = (36.6675, 15.0642)
946: (x, y) = (36.7722, 13.0669)
947: (x, y) = (35.46, 14.5764)
948: (x, y) = (36.5199, 12.8803)
949: (x, y) = (34.754, 13.8192)
950: (x, y) = (32.8519, 14.4372)
951: (x, y) = (33.8519, 12.7052)
952: (x, y) = (32.6206, 11.1292)
953: (x, y) = (32.6555, 9.12947)
954: (x, y) = (30.6858, 8.78218)
955: (x, y) = (31.4673, 10.6232)
956: (x, y) = (32.344, 12.4208)
957: (x, y) = (30.5314, 13.266)
958: (x, y) = (31.2155, 11.3866)
959: (x, y) = (30.1262, 9.70929)
960: (x, y) = (31.5404, 8.29507)
961: (x, y) = (33.338, 7.41833)
962: (x, y) = (34.0547, 9.28549)
963: (x, y) = (32.4787, 10.5168)
964: (x, y) = (33.9174, 9.1275)
965: (x, y) = (32.8281, 10.8048)
966: (x, y) = (32.2768, 8.88232)
967: (x, y) = (33.8949, 7.70674)
968: (x, y) = (33.2108, 5.82736)
969: (x, y) = (35.1129, 6.44539)
970: (x, y) = (37.0883, 6.13252)
971: (x, y) = (35.8027, 4.60044)
972: (x, y) = (36.1844, 2.63718)
973: (x, y) = (34.4523, 1.63718)
974: (x, y) = (33.7031, -0.217186)
975: (x, y) = (31.7043, -0.147387)
976: (x, y) = (30.9876, -2.01455)
977: (x, y) = (32.6649, -0.92527)
978: (x, y) = (30.6652, -0.960175)
979: (x, y) = (28.702, -1.34179)
980: (x, y) = (26.7096, -1.5161)
981: (x, y) = (25.0713, -2.66326)
982: (x, y) = (23.733, -1.17697)
983: (x, y) = (24.8223, 0.500373)
984: (x, y) = (23.6187, 2.09764)
985: (x, y) = (25.1947, 0.866321)
986: (x, y) = (27.1898, 0.726808)
987: (x, y) = (25.2266, 0.34519)
988: (x, y) = (27.1898, -0.0364275)
989: (x, y) = (27.7411, -1.95895)
990: (x, y) = (28.4578, -0.09179)
991: (x, y) = (26.4606, 0.0128819)
992: (x, y) = (25.0966, 1.47559)
993: (x, y) = (27.0662, 1.82289)
994: (x, y) = (25.1029, 1.44127)
995: (x, y) = (25.1378, 3.44096)
996: (x, y) = (23.7738, 4.90367)
997: (x, y) = (23.9134, 6.8988)
998: (x, y) = (24.431, 4.96695)
999: (x, y) = (23.9134, 3.0351)
1000: (x, y) = (25.7404, 2.22162)
1001: (x, y) = (25.9495, 0.232578)
1002: (x, y) = (24.8023, 1.87088)
1003: (x, y) = (24.3524, -0.0778579)
1004: (x, y) = (26.3512, -0.147657)
1005: (x, y) = (25.506, -1.96027)
1006: (x, y) = (26.7096, -3.55754)
1007: (x, y) = (25.9282, -5.39855)
1008: (x, y) = (26.2065, -7.37909)
1009: (x, y) = (24.9479, -5.8248)
1010: (x, y) = (25.3295, -3.86154)
1011: (x, y) = (24.8456, -1.92095)
1012: (x, y) = (26.7682, -2.47223)
1013: (x, y) = (25.0538, -3.5023)
1014: (x, y) = (23.1628, -2.85117)
1015: (x, y) = (22.4461, -0.984005)
1016: (x, y) = (23.8603, 0.430208)
1017: (x, y) = (25.5923, 1.43021)
1018: (x, y) = (26.6816, -0.247133)
1019: (x, y) = (28.3199, 0.90002)
1020: (x, y) = (29.7586, -0.489297)
1021: (x, y) = (28.8818, -2.28688)
1022: (x, y) = (29.0909, -0.297841)
1023: (x, y) = (29.1258, 1.70185)
1024: (x, y) = (27.9502, 3.31989)
1025: (x, y) = (28.1245, 1.3275)
1026: (x, y) = (29.4101, 2.85959)
1027: (x, y) = (29.0285, 0.896333)
1028: (x, y) = (27.8249, -0.700938)
1029: (x, y) = (29.6375, -1.54617)
1030: (x, y) = (31.4195, -0.638193)
1031: (x, y) = (29.6703, -1.60781)
1032: (x, y) = (29.0191, -3.49885)
1033: (x, y) = (27.2532, -2.55991)
1034: (x, y) = (29.1076, -3.30912)
1035: (x, y) = (28.4236, -5.1885)
1036: (x, y) = (28.4236, -7.1885)
1037: (x, y) = (28.9748, -9.11103)
1038: (x, y) = (27.5121, -7.74703)
1039: (x, y) = (25.5316, -8.02538)
1040: (x, y) = (26.1163, -9.93799)
1041: (x, y) = (26.1861, -7.93921)
1042: (x, y) = (24.2636, -7.38793)
1043: (x, y) = (22.6663, -6.1843)
1044: (x, y) = (23.636, -7.93354)
1045: (x, y) = (21.7338, -8.55157)
1046: (x, y) = (21.2162, -10.4834)
1047: (x, y) = (19.6189, -11.6871)
1048: (x, y) = (18.2807, -13.1733)
1049: (x, y) = (18.9647, -11.294)
1050: (x, y) = (17.8463, -9.63589)
1051: (x, y) = (15.8512, -9.7754)
1052: (x, y) = (13.8622, -9.98445)
1053: (x, y) = (12.0963, -10.9234)
1054: (x, y) = (12.2358, -12.9185)
1055: (x, y) = (13.574, -14.4048)
1056: (x, y) = (12.4848, -12.7275)
1057: (x, y) = (14.1028, -13.903)
1058: (x, y) = (14.3465, -11.918)
1059: (x, y) = (13.0344, -13.4274)
1060: (x, y) = (11.0539, -13.149)
1061: (x, y) = (10.3698, -11.2696)
1062: (x, y) = (10.7857, -9.31335)
1063: (x, y) = (11.6936, -7.53133)
1064: (x, y) = (10.2794, -6.11712)
1065: (x, y) = (10.9306, -8.00816)
1066: (x, y) = (8.93817, -8.18247)
1067: (x, y) = (10.3524, -6.76825)
1068: (x, y) = (10.4571, -4.77099)
1069: (x, y) = (8.5252, -5.28863)
1070: (x, y) = (8.00756, -3.35678)
1071: (x, y) = (9.94816, -2.87294)
1072: (x, y) = (10.3981, -4.82168)
1073: (x, y) = (10.3981, -6.82168)
1074: (x, y) = (12.1473, -5.85206)
1075: (x, y) = (11.973, -3.85967)
1076: (x, y) = (11.355, -1.95756)
1077: (x, y) = (9.52786, -1.14408)
1078: (x, y) = (10.8661, -2.63037)
1079: (x, y) = (12.6932, -3.44385)
1080: (x, y) = (11.3039, -4.88253)
1081: (x, y) = (11.7877, -2.94193)
1082: (x, y) = (9.90836, -2.25789)
1083: (x, y) = (10.3922, -4.19848)
1084: (x, y) = (8.56511, -3.38501)
1085: (x, y) = (9.74068, -5.00305)
1086: (x, y) = (8.62229, -6.66112)
1087: (x, y) = (6.87305, -5.6915)
1088: (x, y) = (5.27578, -4.48787)
1089: (x, y) = (3.31949, -4.90369)
1090: (x, y) = (5.19887, -4.21965)
1091: (x, y) = (6.61309, -5.63387)
1092: (x, y) = (7.67292, -7.32996)
1093: (x, y) = (9.42216, -8.29958)
1094: (x, y) = (8.73812, -10.179)
1095: (x, y) = (9.99676, -11.7333)
1096: (x, y) = (9.64947, -13.7029)
1097: (x, y) = (10.8808, -15.2789)
1098: (x, y) = (12.8698, -15.488)
1099: (x, y) = (11.3155, -16.7466)
1100: (x, y) = (9.71827, -15.543)
1101: (x, y) = (9.37098, -13.5733)
1102: (x, y) = (8.16735, -15.1706)
1103: (x, y) = (9.10629, -16.9365)
1104: (x, y) = (8.16735, -18.7024)
1105: (x, y) = (7.889, -20.6829)
1106: (x, y) = (9.56634, -19.5937)
1107: (x, y) = (11.536, -19.941)
1108: (x, y) = (12.2527, -21.8081)
1109: (x, y) = (10.6554, -23.0118)
1110: (x, y) = (12.3135, -24.1301)
1111: (x, y) = (10.4725, -23.3487)
1112: (x, y) = (8.54063, -22.831)
1113: (x, y) = (10.5394, -22.9008)
1114: (x, y) = (11.9287, -24.3395)
1115: (x, y) = (13.483, -25.5982)
1116: (x, y) = (11.4858, -25.4935)
1117: (x, y) = (9.51615, -25.8408)
1118: (x, y) = (8.73469, -23.9998)
1119: (x, y) = (10.2668, -25.2854)
1120: (x, y) = (9.7155, -27.2079)
1121: (x, y) = (11.7079, -27.0336)
1122: (x, y) = (10.0306, -25.9443)
1123: (x, y) = (8.11794, -26.529)
1124: (x, y) = (9.94503, -27.3425)
1125: (x, y) = (9.91013, -29.3422)
1126: (x, y) = (8.25205, -28.2238)
1127: (x, y) = (7.63402, -26.3217)
1128: (x, y) = (6.03675, -27.5253)
1129: (x, y) = (7.98549, -27.0754)
1130: (x, y) = (9.66283, -28.1647)
1131: (x, y) = (11.6628, -28.1647)
1132: (x, y) = (13.5947, -28.6823)
1133: (x, y) = (14.2127, -26.7802)
1134: (x, y) = (12.2373, -26.4674)
1135: (x, y) = (10.8733, -27.9301)
1136: (x, y) = (9.09133, -28.838)
1137: (x, y) = (7.26424, -29.6515)
1138: (x, y) = (5.66697, -30.8552)
1139: (x, y) = (4.18068, -29.5169)
1140: (x, y) = (5.11962, -27.751)
1141: (x, y) = (6.26677, -26.1127)
1142: (x, y) = (4.31803, -25.6628)
1143: (x, y) = (4.00516, -23.6874)
1144: (x, y) = (4.5228, -25.6193)
1145: (x, y) = (3.49272, -23.9049)
1146: (x, y) = (4.46234, -22.1557)
1147: (x, y) = (4.04652, -20.1994)
1148: (x, y) = (2.05139, -20.3389)
1149: (x, y) = (3.44071, -18.9002)
1150: (x, y) = (4.25418, -20.7273)
1151: (x, y) = (4.67001, -18.771)
1152: (x, y) = (5.92865, -17.2167)
1153: (x, y) = (7.29264, -18.6794)
1154: (x, y) = (7.46695, -20.6718)
1155: (x, y) = (7.11966, -22.6414)
1156: (x, y) = (5.65695, -24.0054)
1157: (x, y) = (6.47042, -25.8325)
1158: (x, y) = (8.45096, -25.5542)
1159: (x, y) = (8.79826, -23.5846)
1160: (x, y) = (6.79856, -23.5497)
1161: (x, y) = (5.03267, -24.4886)
1162: (x, y) = (6.39666, -25.9513)
1163: (x, y) = (4.47414, -25.4)
1164: (x, y) = (4.82144, -27.3697)
1165: (x, y) = (3.70305, -25.7116)
1166: (x, y) = (5.41738, -24.6815)
1167: (x, y) = (4.21375, -23.0842)
1168: (x, y) = (2.33437, -23.7683)
1169: (x, y) = (1.58516, -25.6226)
1170: (x, y) = (1.41084, -27.615)
1171: (x, y) = (0.021528, -26.1764)
1172: (x, y) = (-1.97086, -26.002)
1173: (x, y) = (-0.823709, -27.6403)
1174: (x, y) = (-1.99928, -29.2584)
1175: (x, y) = (-2.34658, -27.2888)
1176: (x, y) = (-1.5331, -25.4617)
1177: (x, y) = (-0.687866, -27.2743)
1178: (x, y) = (-0.170228, -25.3424)
1179: (x, y) = (-0.854268, -27.2218)
1180: (x, y) = (-2.53161, -28.3111)
1181: (x, y) = (-0.556232, -27.9982)
1182: (x, y) = (1.1581, -29.0283)
1183: (x, y) = (-0.280577, -27.639)
1184: (x, y) = (1.31669, -28.8426)
1185: (x, y) = (0.439951, -27.045)
1186: (x, y) = (0.370152, -29.0438)
1187: (x, y) = (-1.61889, -29.2529)
1188: (x, y) = (-0.333316, -27.7208)
1189: (x, y) = (-2.04765, -26.6907)
1190: (x, y) = (-3.53394, -25.3524)
1191: (x, y) = (-3.91556, -23.3892)
1192: (x, y) = (-1.9183, -23.4939)
1193: (x, y) = (-1.9532, -21.4942)
1194: (x, y) = (-2.12752, -23.4866)
1195: (x, y) = (-1.88378, -25.4716)
1196: (x, y) = (-1.7791, -23.4744)
1197: (x, y) = (-0.902363, -25.272)
1198: (x, y) = (-0.658624, -27.2571)
1199: (x, y) = (-0.04059, -29.1592)
1200: (x, y) = (1.0778, -27.5011)
1201: (x, y) = (2.25337, -25.8831)
1202: (x, y) = (3.19231, -24.1172)
1203: (x, y) = (1.93367, -25.6715)
1204: (x, y) = (3.93336, -25.7064)
1205: (x, y) = (4.81011, -27.504)
1206: (x, y) = (2.98302, -28.3174)
1207: (x, y) = (3.79649, -26.4903)
1208: (x, y) = (3.34659, -24.5416)
1209: (x, y) = (3.65946, -26.517)
1210: (x, y) = (5.09814, -27.9063)
1211: (x, y) = (6.53681, -29.2956)
1212: (x, y) = (4.65743, -28.6116)
1213: (x, y) = (2.81642, -27.8301)
1214: (x, y) = (4.45472, -28.9773)
1215: (x, y) = (6.44711, -29.1516)
1216: (x, y) = (6.58663, -31.1467)
1217: (x, y) = (5.383, -32.744)
1218: (x, y) = (6.58663, -31.1467)
1219: (x, y) = (4.6641, -31.698)
1220: (x, y) = (6.51847, -30.9488)
1221: (x, y) = (4.56218, -31.3646)
1222: (x, y) = (5.50112, -33.1305)
1223: (x, y) = (7.39216, -32.4793)
1224: (x, y) = (5.57954, -31.6341)
1225: (x, y) = (3.73853, -32.4156)
1226: (x, y) = (1.77528, -32.034)
1227: (x, y) = (0.867295, -33.816)
1228: (x, y) = (2.82359, -33.4001)
1229: (x, y) = (4.30988, -34.7384)
1230: (x, y) = (2.3345, -34.4255)
1231: (x, y) = (3.08372, -32.5712)
1232: (x, y) = (2.20697, -34.3688)
1233: (x, y) = (1.00334, -35.966)
1234: (x, y) = (-0.977192, -35.6877)
1235: (x, y) = (-1.85393, -37.4853)
1236: (x, y) = (-0.367645, -36.147)
1237: (x, y) = (-1.11686, -38.0014)
1238: (x, y) = (-3.11564, -38.0712)
1239: (x, y) = (-4.75394, -36.924)
1240: (x, y) = (-3.19965, -35.6654)
1241: (x, y) = (-1.23004, -35.3181)
1242: (x, y) = (-1.64586, -33.3618)
1243: (x, y) = (-3.5369, -34.0129)
1244: (x, y) = (-5.49319, -33.5971)
1245: (x, y) = (-4.52357, -35.3463)
1246: (x, y) = (-3.74211, -33.5053)
1247: (x, y) = (-3.46376, -31.5248)
1248: (x, y) = (-5.4443, -31.2465)
1249: (x, y) = (-6.4443, -29.5144)
1250: (x, y) = (-6.16595, -31.4949)
1251: (x, y) = (-8.09781, -32.0126)
1252: (x, y) = (-10.0929, -32.1521)
1253: (x, y) = (-10.0231, -30.1533)
1254: (x, y) = (-9.88362, -28.1582)
1255: (x, y) = (-11.5797, -29.218)
1256: (x, y) = (-10.8305, -31.0724)
1257: (x, y) = (-12.0341, -29.4751)
1258: (x, y) = (-12.2084, -27.4827)
1259: (x, y) = (-11.0901, -29.1408)
1260: (x, y) = (-10.9157, -27.1484)
1261: (x, y) = (-12.402, -25.8102)
1262: (x, y) = (-13.2788, -27.6077)
1263: (x, y) = (-15.1331, -28.357)
1264: (x, y) = (-16.0411, -30.139)
1265: (x, y) = (-15.4231, -32.0411)
1266: (x, y) = (-15.2836, -30.0459)
1267: (x, y) = (-14.7659, -31.9778)
1268: (x, y) = (-16.7611, -31.8383)
1269: (x, y) = (-18.2932, -30.5527)
1270: (x, y) = (-17.642, -28.6617)
1271: (x, y) = (-19.2803, -29.8088)
1272: (x, y) = (-21.0124, -28.8088)
1273: (x, y) = (-19.5982, -27.3946)
1274: (x, y) = (-19.0134, -29.3072)
1275: (x, y) = (-17.5271, -30.6455)
1276: (x, y) = (-15.6046, -31.1968)
1277: (x, y) = (-13.6156, -31.4058)
1278: (x, y) = (-13.5458, -33.4046)
1279: (x, y) = (-15.3729, -32.5911)
1280: (x, y) = (-13.4323, -33.075)
1281: (x, y) = (-12.5243, -31.293)
1282: (x, y) = (-13.987, -32.657)
1283: (x, y) = (-12.5243, -31.293)
1284: (x, y) = (-14.2735, -30.3233)
1285: (x, y) = (-16.2723, -30.3931)
1286: (x, y) = (-16.7899, -32.325)
1287: (x, y) = (-15.3757, -33.7392)
1288: (x, y) = (-17.3754, -33.7741)
1289: (x, y) = (-15.4058, -34.1214)
1290: (x, y) = (-16.7179, -32.612)
1291: (x, y) = (-18.2273, -31.2999)
1292: (x, y) = (-16.2273, -31.2999)
1293: (x, y) = (-14.3048, -30.7486)
1294: (x, y) = (-12.4138, -31.3997)
1295: (x, y) = (-13.3218, -33.1817)
1296: (x, y) = (-15.3169, -33.0422)
1297: (x, y) = (-14.5354, -31.2012)
1298: (x, y) = (-16.4987, -30.8196)
1299: (x, y) = (-14.5136, -31.0633)
1300: (x, y) = (-16.2956, -31.9713)
1301: (x, y) = (-17.2956, -33.7034)
1302: (x, y) = (-16.9483, -31.7338)
1303: (x, y) = (-18.2604, -33.2432)
1304: (x, y) = (-17.7428, -35.175)
1305: (x, y) = (-15.7577, -34.9313)
1306: (x, y) = (-14.7577, -33.1992)
1307: (x, y) = (-14.7926, -35.1989)
1308: (x, y) = (-15.9962, -36.7962)
1309: (x, y) = (-14.2303, -37.7351)
1310: (x, y) = (-13.3224, -39.5172)
1311: (x, y) = (-14.8544, -40.8027)
1312: (x, y) = (-14.9591, -42.8)
1313: (x, y) = (-13.2818, -41.7107)
1314: (x, y) = (-13.5255, -43.6958)
1315: (x, y) = (-12.8088, -45.563)
1316: (x, y) = (-14.4471, -46.7101)
